// t(s) normalizedPi_C6H10,CyC5H7-CH3[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 0
74.3387 0
78.5 0
82.8871 0
86.9516 0
90.8226 0
94.9839 9.15034e-06
99.371 9.8019e-06
103.5 1.52526e-05
107.565 2.30574e-05
111.79 2.69057e-05
115.694 3.61488e-05
119.435 4.48559e-05
123.048 4.91435e-05
126.5 5.68006e-05
130.081 5.44145e-05
133.306 4.49185e-05
136.468 4.02562e-05
139.565 3.60657e-05
142.532 3.32497e-05
145.435 3.11208e-05
148.371 2.62576e-05
151.5 2.31099e-05
154.403 1.90621e-05
157.339 1.72046e-05
160.435 1.40973e-05
163.274 1.10625e-05
165.887 1.20346e-05
168.565 1.11507e-05
171.306 1.11422e-05
173.758 0
176.177 0
178.694 0
181.048 0
183.371 0
185.629 0
187.919 0
190.306 0
192.5 0
194.694 0
196.952 0
199.242 0
201.532 0
203.823 0
206.21 0
208.5 0
210.855 0
213.306 0
215.597 0
217.887 0
220.177 0
222.435 0
224.823 0
227.048 0
229.306 0
231.532 0
233.726 0
235.952 0
238.21 0
240.694 0
243.145 0
245.758 0
248.435 0
251.274 0
254.177 0
257.048 0
260.145 0
263.081 0
265.952 0
268.952 0
271.79 0
274.565 0
277.339 0
280.113 0
283.081 0
285.855 0
288.661 0
291.468 0
294.21 0
296.984 0
299.758 0
302.629 0
305.339 0
308.048 0
310.726 0
313.339 0
316.016 0
318.661 0
321.435 0
323.984 0
326.532 0
329.339 0
331.952 0
334.5 0
336.952 0
339.339 0
341.855 0
344.371 0
346.855 0
349.339 0
351.855 0
354.371 0
356.887 0
359.468 0
361.952 0
364.339 0
366.661 0
368.952 0
371.177 0
373.242 0
375.274 0
